"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"GAMBITO DE ALFIL","LIBRERIA","BONIFACIO, JOSE 1402",NA,NA,"D2","bonifacio jose 1402","^([a-z ]*)([0-9]+)","bonifacio jose","1402"
"EL GATO ESCALADO LIBROS","LIBRERIA","INDEPENDENCIA AV. 3548",NA,NA,"D2","independencia av 3548","^([a-z ]*)([0-9]+)","independencia av","3548"
"EL TUNEL DE BUENOS AIRES","LIBRERIA","DE MAYO AV. 767",NA,NA,"D2","de mayo av 767","^([a-z ]*)([0-9]+)","de mayo av","767"
"LIBRERIA ENSAYO","LIBRERIA","LAVALLE 528",NA,NA,"D2","lavalle 528","^([a-z ]*)([0-9]+)","lavalle","528"
"EL ESCRIBA","LIBRERIA","BALCARCE 1053",NA,NA,"D2","balcarce 1053","^([a-z ]*)([0-9]+)","balcarce","1053"
"EIFFEL LIBRES","LIBRERIA","CORDOBA AV. 960",NA,NA,"D2","cordoba av 960","^([a-z ]*)([0-9]+)","cordoba av","960"
"ESTARI LIBROS","LIBRERIA","VIAMONTE 2058",NA,NA,"D2","viamonte 2058","^([a-z ]*)([0-9]+)","viamonte","2058"
"CALESITA PLAZA ALMAGRO","CALESITA","BULNES Y SARMIENTO",NA,NA,"D2","bulnes y sarmiento","","bulnes y sarmiento","bulnes y sarmiento"
"CALESITA DEL SPINETTO","CALESITA","ALSINA, ADOLFO Y MATHEU",NA,NA,"D2","alsina adolfo y matheu","","alsina adolfo y matheu","alsina adolfo y matheu"
"CALESITA DE DON PEPE","CALESITA","HERRERA Y BRANDSEN",NA,NA,"D2","herrera y brandsen","","herrera y brandsen","herrera y brandsen"
"LA CALESITA DE ANTONIO","CALESITA","IRIARTE, GRAL. AV. Y LUZURIAGA",NA,NA,"D2","iriarte gral av y luzuriaga","","iriarte gral av y luzuriaga","iriarte gral av y luzuriaga"
"CALESITA ESTACION BELGRANO R","CALESITA","JURAMENTO 3200",NA,NA,"D2","juramento 3200","^([a-z ]*)([0-9]+)","juramento","3200"
"CALESITA DE LA PLAZA REPUBLICA DE MEXICO","CALESITA","LA PAMPA Y FIGUEROA ALCORTA, PRES. AV.",NA,NA,"D2","la pampa y figueroa alcorta pres av","","la pampa y figueroa alcorta pres av","la pampa y figueroa alcorta pres av"
"CALESITA DE PARQUE RIVADAVIA","CALESITA","ROSARIO Y BEAUCHEF",NA,NA,"D2","rosario y beauchef","","rosario y beauchef","rosario y beauchef"
"CALESITA JOSE DE PLAZA IRLANDA","CALESITA","NEUQUEN Y ALVAREZ, DONATO, TTE. GRAL.",NA,NA,"D2","neuquen y alvarez donato tte gral","","neuquen y alvarez donato tte gral","neuquen y alvarez donato tte gral"
"CALESITA ESTACION CABALLITO","CALESITA","ROJAS Y BACACAY",NA,NA,"D2","rojas y bacacay","","rojas y bacacay","rojas y bacacay"
"LA CALESITA DE CARLITOS","CALESITA","GALLARDO, ANGEL AV. Y PATRICIAS ARGENTINAS AV.",NA,NA,"D2","gallardo angel av y patricias argentinas av","","gallardo angel av y patricias argentinas av","gallardo angel av y patricias argentinas av"
"LA CALESITA DE PARQUE LOS ANDES","CALESITA","ARENAL, CONCEPCION Y CORRIENTES AV.",NA,NA,"D2","arenal concepcion y corrientes av","","arenal concepcion y corrientes av","arenal concepcion y corrientes av"
"CALESITA DEL PARQUE INFANTIL DON JOSE","CALESITA","ALVAREZ JONTE AV. 4767",NA,NA,"D2","alvarez jonte av 4767","^([a-z ]*)([0-9]+)","alvarez jonte av","4767"
"LA CALESITA DE COLEGIALES","CALESITA","LACROZE, FEDERICO AV. 2782",NA,NA,"D2","lacroze federico av 2782","^([a-z ]*)([0-9]+)","lacroze federico av","2782"
"CALESITA EL PATO","CALESITA","ENTRE RIOS AV. 1056",NA,NA,"D2","entre rios av 1056","^([a-z ]*)([0-9]+)","entre rios av","1056"
"CALESITA PEKAS","CALESITA","GAONA AV. 3036",NA,NA,"D2","gaona av 3036","^([a-z ]*)([0-9]+)","gaona av","3036"
"CALESITA DE LA PLAZA MISERICORDIA","CALESITA","LAUTARO Y BILBAO, FRANCISCO",NA,NA,"D2","lautaro y bilbao francisco","","lautaro y bilbao francisco","lautaro y bilbao francisco"
"CALESITA DE LA PLAZA GENERAL PUEYRREDON","CALESITA","YERBAL Y ARTIGAS, JOSE GERVASIO, GRAL.",NA,NA,"D2","yerbal y artigas jose gervasio gral","","yerbal y artigas jose gervasio gral","yerbal y artigas jose gervasio gral"
"CALESITA DE LA ESTACION FLORESTA","CALESITA","SEGUROLA AV. Y FLORES, VENANCIO, GRAL.",NA,NA,"D2","segurola av y flores venancio gral","","segurola av y flores venancio gral","segurola av y flores venancio gral"
"LA CALESITA DE DON LUIS","CALESITA","FALCON, RAMON L.,CNEL. AV. 5990",NA,NA,"D2","falcon ramon lcnel av 5990","^([a-z ]*)([0-9]+)","falcon ramon lcnel av","5990"
"CALESITA EL GATO DEL POLIDEPORTIVO NUEVA CHICAGO","CALESITA","DIRECTORIO AV. Y DE LA TORRE, LISANDRO AV.",NA,NA,"D2","directorio av y de la torre lisandro av","","directorio av y de la torre lisandro av","directorio av y de la torre lisandro av"
"CALESITA MI SUEÑO DE LA PLAZA SALABERRY","CALESITA","ALBERDI, JUAN BAUTISTA AV. Y PILAR",NA,NA,"D2","alberdi juan bautista av y pilar","","alberdi juan bautista av y pilar","alberdi juan bautista av y pilar"
"CARROUSEL DE LOS NIÑOS DE LA PLAZA DEL CONGRESO","CALESITA","YRIGOYEN, HIPOLITO Y SAENZ PE�A, LUIS, PRES.",NA,NA,"D2",NA,"",NA,NA
"CALESITA PEDRITO DE LA PLAZA POMPEYA","CALESITA","TRAFUL Y SAENZ AV.",NA,NA,"D2","traful y saenz av","","traful y saenz av","traful y saenz av"
"CALESITA DE LA PLAZA BALCARCE","CALESITA","VUELTA DE OBLIGADO Y JARAMILLO",NA,NA,"D2","vuelta de obligado y jaramillo","","vuelta de obligado y jaramillo","vuelta de obligado y jaramillo"
"CALESITA DEL JARDIN ZOOLOGICO","CALESITA","DEL LIBERTADOR AV. Y SARMIENTO AV.",NA,NA,"D2","del libertador av y sarmiento av","","del libertador av y sarmiento av","del libertador av y sarmiento av"
"CALESITA DE LA PLAZA UNION LATINOAMERICANA","CALESITA","COSTA RICA Y MEDRANO",NA,NA,"D2","costa rica y medrano","","costa rica y medrano","costa rica y medrano"
"CALESITA DEL PARQUE 3 DE FEBRERO","CALESITA","DEL LIBERTADOR AV. Y REPUBLICA DE LA INDIA",NA,NA,"D2","del libertador av y republica de la india","","del libertador av y republica de la india","del libertador av y republica de la india"
"LA CALESITA DE PEDRITO DE PARQUE LAS HERAS","CALESITA","DIAZ, CNEL. AV. Y LAS HERAS GENERAL AV.",NA,NA,"D2","diaz cnel av y las heras general av","","diaz cnel av y las heras general av","diaz cnel av y las heras general av"
"CALESITA DE LA PLAZA CAMPAÑA DEL DESIERTO","CALESITA","MALABIA Y NICARAGUA",NA,NA,"D2","malabia y nicaragua","","malabia y nicaragua","malabia y nicaragua"
"QUEEN CARROUSEL","CALESITA","FIGUEROA ALCORTA, PRES. AV. Y SALGUERO, JERONIMO",NA,NA,"D2","figueroa alcorta pres av y salguero jeronimo","","figueroa alcorta pres av y salguero jeronimo","figueroa alcorta pres av y salguero jeronimo"
"CALESITA JUAN CARLOS DE LA PLAZA REPUBLICA DE BOLIVIA","CALESITA","DEL LIBERTADOR AV. Y OLLEROS AV.",NA,NA,"D2","del libertador av y olleros av","","del libertador av y olleros av","del libertador av y olleros av"
"CALESITA DE PARQUE AVELLANEDA","CALESITA","DIRECTORIO AV. Y LACARRA",NA,NA,"D2","directorio av y lacarra","","directorio av y lacarra","directorio av y lacarra"
"LA CALESITA DE TATIN DEL PQUE. CHACABUCO","CALESITA","ASAMBLEA AV. Y MIRO",NA,NA,"D2","asamblea av y miro","","asamblea av y miro","asamblea av y miro"
"LA CALESITA DE PARQUE PATRICIOS","CALESITA","CASEROS AV. Y PEPIRI",NA,NA,"D2","caseros av y pepiri","","caseros av y pepiri","caseros av y pepiri"
"LA CALESITA DE DANIEL DE LA PLAZA TTE. GRAL. EMILIO MITRE","CALESITA","CANTILO Y PACHECO DE MELO, JOSE ANDRES",NA,NA,"D2","cantilo y pacheco de melo jose andres","","cantilo y pacheco de melo jose andres","cantilo y pacheco de melo jose andres"
"CARROUSEL CLASICO","CALESITA","POSADAS Y LIBERTAD",NA,NA,"D2","posadas y libertad","","posadas y libertad","posadas y libertad"
"CALESITA DEL PARQUE SAAVEDRA","CALESITA","GARCIA DEL RIO Y CONDE",NA,NA,"D2","garcia del rio y conde","","garcia del rio y conde","garcia del rio y conde"
"CALESITA PLAZA ESTE DE LA ESTACION SAAVEDRA","CALESITA","BALBIN, RICARDO, DR. AV. Y PLAZA",NA,NA,"D2","balbin ricardo dr av y plaza","","balbin ricardo dr av y plaza","balbin ricardo dr av y plaza"
"CALESITA DE LA PLAZA MARTIN FIERRO","CALESITA","BARCALA Y URQUIZA, GRAL.",NA,NA,"D2","barcala y urquiza gral","","barcala y urquiza gral","barcala y urquiza gral"
"CALESITA DE PARQUE LEZAMA","CALESITA","DEFENSA Y FINOCHIETTO ENRIQUE DR.",NA,NA,"D2","defensa y finochietto enrique dr","","defensa y finochietto enrique dr","defensa y finochietto enrique dr"
"CALESITA DE LA ALEGRIA DE LA PLAZA ARISTOBULO DEL VALLE","CALESITA","CAMPANA Y SASTRE, MARCOS",NA,NA,"D2","campana y sastre marcos","","campana y sastre marcos","campana y sastre marcos"
"LA CALESITA DE DEVOTO","CALESITA","NUEVA YORK 4050",NA,NA,"D2","nueva york 4050","^([a-z ]*)([0-9]+)","nueva york","4050"
"LA CALESITA DE PASCUALITO DE LA PLAZA SAENZ PEÑA","CALESITA","LAMAS, ANDRES Y ESCALADA DE SAN MARTIN, R.",NA,NA,"D2","lamas andres y escalada de san martin r","","lamas andres y escalada de san martin r","lamas andres y escalada de san martin r"
"CALESITA STELLA MARIS","CALESITA","SOLDADO DE LA FRONTERA AV. Y OLASCOAGA, MANUEL JOSE, CNEL.",NA,NA,"D2","soldado de la frontera av y olascoaga manuel jose cnel","","soldado de la frontera av y olascoaga manuel jose cnel","soldado de la frontera av y olascoaga manuel jose cnel"
"CALESITA A LOS SUEÑOS DE LOS NIÑOS DE LA PLAZA UNIDAD NACIONAL","CALESITA","MURGUIONDO Y GALLO, DELFIN",NA,NA,"D2","murguiondo y gallo delfin","","murguiondo y gallo delfin","murguiondo y gallo delfin"
"CALESITA DE LA PLAZA 25 DE AGOSTO","CALESITA","CHARLONE Y 14 DE JULIO",NA,NA,"D2","charlone y 14 de julio","^([a-z ]*)([0-9]+)","charlone y  de julio","14 de julio"
"LA CALESITA DE LEONARDO","CALESITA","BEIRO, FRANCISCO AV. 5340",NA,NA,"D2","beiro francisco av 5340","^([a-z ]*)([0-9]+)","beiro francisco av","5340"
"CALESITA EL CAPRICHO","CALESITA","FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y PIEDRA BUENA AV.",NA,NA,"D2","fernandez de la cruz f gral av y piedra buena av","","fernandez de la cruz f gral av y piedra buena av","fernandez de la cruz f gral av y piedra buena av"
"EL ESCONDITE","LIBRERIA","GUEMES 3877",NA,NA,"D2","guemes 3877","^([a-z ]*)([0-9]+)","guemes","3877"
"LA CALESITA DE LA PLAZA 1 DE MAYO","CALESITA","YRIGOYEN, HIPOLITO Y PASCO",NA,NA,"D2","yrigoyen hipolito y pasco","","yrigoyen hipolito y pasco","yrigoyen hipolito y pasco"
"LIBROS FRIEDENTHAL","LIBRERIA","PERON, JUAN DOMINGO, TTE. GENERAL 1597",NA,NA,"D2","peron juan domingo tte general 1597","^([a-z ]*)([0-9]+)","peron juan domingo tte general","1597"
"LIBRERIA EL FORO","LIBRERIA","LAVALLE 1362",NA,NA,"D2","lavalle 1362","^([a-z ]*)([0-9]+)","lavalle","1362"
"FLORENTINO LIBROS","LIBRERIA","PARRAL 93",NA,NA,"D2","parral 93","^([a-z ]*)([0-9]+)","parral","93"
"FEDRO","CENTRO CULTURAL","CALVO, CARLOS 578",NA,NA,"D2","calvo carlos 578","^([a-z ]*)([0-9]+)","calvo carlos","578"
"EL FARO DEL FIN DEL MUNDO","LIBRERIA","LIBERTAD 1240",NA,NA,"D2","libertad 1240","^([a-z ]*)([0-9]+)","libertad","1240"
"LIBRERIA FAMS","LIBRERIA","CORDOBA AV. 2208",NA,NA,"D2","cordoba av 2208","^([a-z ]*)([0-9]+)","cordoba av","2208"
"LIBRERIA LA FACULTAD","LIBRERIA","INDEPENDENCIA AV. 3065",NA,NA,"D2","independencia av 3065","^([a-z ]*)([0-9]+)","independencia av","3065"
"EL EXTRANJERO LIBROS Y CINE","LIBRERIA","OLLEROS 4128",NA,NA,"D2","olleros 4128","^([a-z ]*)([0-9]+)","olleros","4128"
"LIBRERIA DEL INSTITUTO","LIBRERIA","RODRIGUEZ PE�A 1054",NA,NA,"D2",NA,"",NA,NA
"LIBRERIA HUEMUL","LIBRERIA","SANTA FE AV. 2237",NA,NA,"D2","santa fe av 2237","^([a-z ]*)([0-9]+)","santa fe av","2237"
"LIBRERIA HERNANDEZ. SUCURSAL CORRIENTES II.","LIBRERIA","CORRIENTES AV. 1311",NA,NA,"D2","corrientes av 1311","^([a-z ]*)([0-9]+)","corrientes av","1311"
"LIBRERIA HERNANDEZ. SUCURSAL CORRIENTES.","LIBRERIA","CORRIENTES AV. 1436",NA,NA,"D2","corrientes av 1436","^([a-z ]*)([0-9]+)","corrientes av","1436"
"LIBRERIA HELENA DE BUENOS AIRES","LIBRERIA","ESMERALDA 882",NA,NA,"D2","esmeralda 882","^([a-z ]*)([0-9]+)","esmeralda","882"
"LIBRERIA HASTINAPURA","LIBRERIA","CHILE 1477",NA,NA,"D2","chile 1477","^([a-z ]*)([0-9]+)","chile","1477"
"HAPPY BOOKS","LIBRERIA","RIVADAVIA AV. 5462",NA,NA,"D2","rivadavia av 5462","^([a-z ]*)([0-9]+)","rivadavia av","5462"
"EL HABLADOR","LIBRERIA","CABILDO AV. 2280",NA,NA,"D2","cabildo av 2280","^([a-z ]*)([0-9]+)","cabildo av","2280"
"LIBRERIA GUIRAUD","LIBRERIA","DIAZ, CNEL. AV. 1492",NA,NA,"D2","diaz cnel av 1492","^([a-z ]*)([0-9]+)","diaz cnel av","1492"
"LIBRERIA GUADALUPITA","LIBRERIA","AVELLANEDA AV. 3918",NA,NA,"D2","avellaneda av 3918","^([a-z ]*)([0-9]+)","avellaneda av","3918"
"GOUT ELITE GASTRONOMICA","LIBRERIA","ECHEVERRIA 2077",NA,NA,"D2","echeverria 2077","^([a-z ]*)([0-9]+)","echeverria","2077"
"EL GLYPTODON","LIBRERIA","AYACUCHO 734",NA,NA,"D2","ayacucho 734","^([a-z ]*)([0-9]+)","ayacucho","734"
"GALERNA LIBROS. SUCURSAL CABILDO.","LIBRERIA","CABILDO AV. 1852",NA,NA,"D2","cabildo av 1852","^([a-z ]*)([0-9]+)","cabildo av","1852"
"GALERNA LIBROS. SUCURSAL URUGUAY.","LIBRERIA","URUGUAY 1049",NA,NA,"D2","uruguay 1049","^([a-z ]*)([0-9]+)","uruguay","1049"
"GALERNA LIBROS. SUCURSAL PERU.","LIBRERIA","PERU 1064",NA,NA,"D2","peru 1064","^([a-z ]*)([0-9]+)","peru","1064"
"LIBRERIA FERNANDEZ BLANCO","LIBRERIA","TUCUMAN 712",NA,NA,"D2","tucuman 712","^([a-z ]*)([0-9]+)","tucuman","712"
"AQUILANTI LIBROS","LIBRERIA","RINCON 79",NA,NA,"D2","rincon 79","^([a-z ]*)([0-9]+)","rincon","79"
"ENTELEQUIA COMIC BOOK STORE (SUCURSAL URUGUAY)","LIBRERIA","URUGUAY 341",NA,NA,"D2","uruguay 341","^([a-z ]*)([0-9]+)","uruguay","341"
"ENTELEQUIA COMIC BOOK STORE (SUCURSAL JURAMENTO)","LIBRERIA","JURAMENTO AV. 2584",NA,NA,"D2","juramento av 2584","^([a-z ]*)([0-9]+)","juramento av","2584"
"ENTRE LIBROS. SUCURSAL AV. SANTA FE.","LIBRERIA","SANTA FE AV. 2450",NA,NA,"D2","santa fe av 2450","^([a-z ]*)([0-9]+)","santa fe av","2450"
"ENTRE LIBROS. SUCURSAL AV. CABILDO.","LIBRERIA","CABILDO AV. 2280",NA,NA,"D2","cabildo av 2280","^([a-z ]*)([0-9]+)","cabildo av","2280"
"LIBRERIA EDIPO. SUCURSAL SANTA FE.","LIBRERIA","SANTA FE AV. 2691",NA,NA,"D2","santa fe av 2691","^([a-z ]*)([0-9]+)","santa fe av","2691"
"EDIPO LIBROS (SUCURSAL LAVALLE)","LIBRERIA","LAVALLE 1582",NA,NA,"D2","lavalle 1582","^([a-z ]*)([0-9]+)","lavalle","1582"
"EDIPO LIBROS (SUCURSAL AV. CORRIENTES)","LIBRERIA","CORRIENTES AV. 1686",NA,NA,"D2","corrientes av 1686","^([a-z ]*)([0-9]+)","corrientes av","1686"
"LIBRERIA SANTA FE. SUCURSAL ALTO PALERMO.","LIBRERIA","SANTA FE AV. 3253",NA,NA,"D2","santa fe av 3253","^([a-z ]*)([0-9]+)","santa fe av","3253"
"LIBRERIA SANTA FE. SUCURSAL SANTA FE II.","LIBRERIA","SANTA FE AV. 2582",NA,NA,"D2","santa fe av 2582","^([a-z ]*)([0-9]+)","santa fe av","2582"
"LIBRERIA SANTA FE. SUCURSAL CABILDO.","LIBRERIA","CABILDO AV. 605",NA,NA,"D2","cabildo av 605","^([a-z ]*)([0-9]+)","cabildo av","605"
"LIBRERIA NADIR. SUCURSAL CUENCA.","LIBRERIA","CUENCA 3131",NA,NA,"D2","cuenca 3131","^([a-z ]*)([0-9]+)","cuenca","3131"
"LIBRERIA NADIR. SUCURSAL LAS HERAS.","LIBRERIA","LAS HERAS, GENERAL 1702",NA,NA,"D2","las heras general 1702","^([a-z ]*)([0-9]+)","las heras general","1702"
"LIBRERIA NADIR. SUCURSAL SCALABRINI ORTIZ.","LIBRERIA","SCALABRINI ORTIZ, RAUL AV. 274",NA,NA,"D2","scalabrini ortiz raul av 274","^([a-z ]*)([0-9]+)","scalabrini ortiz raul av","274"
"LIBRERIA NADIR. SUCURSAL AV. CABILDO.","LIBRERIA","CABILDO AV. 1786",NA,NA,"D2","cabildo av 1786","^([a-z ]*)([0-9]+)","cabildo av","1786"
"LIBRERIA NADIR. SUCURSAL BRASIL.","LIBRERIA","BRASIL 1128",NA,NA,"D2","brasil 1128","^([a-z ]*)([0-9]+)","brasil","1128"
"LA OFERTA (SUCURSAL RIVADAVIA)","LIBRERIA","RIVADAVIA AV. 1711",NA,NA,"D2","rivadavia av 1711","^([a-z ]*)([0-9]+)","rivadavia av","1711"
"LIBRERIA YENNY. SUCURSAL ACOYTE.","LIBRERIA","ACOYTE AV. 44",NA,NA,"D2","acoyte av 44","^([a-z ]*)([0-9]+)","acoyte av","44"
"LIBRERIA YENNY. SUCURSAL AV. SANTA FE.","LIBRERIA","SANTA FE AV. 3253",NA,NA,"D2","santa fe av 3253","^([a-z ]*)([0-9]+)","santa fe av","3253"
"LIBRERIA YENNY. SUCURSAL ARCE.","LIBRERIA","ARCE 940",NA,NA,"D2","arce 940","^([a-z ]*)([0-9]+)","arce","940"
"PARQUE DE LA MEMORIA","CENTRO CULTURAL","OBLIGADO RAFAEL, AV.COSTANERA 6745",NA,NA,"D2","obligado rafael avcostanera 6745","^([a-z ]*)([0-9]+)","obligado rafael avcostanera","6745"
"CULTURA TANGUERA","MILONGA Y/O TANGUERIA","RIVADAVIA AV. 1392",NA,NA,"D2","rivadavia av 1392","^([a-z ]*)([0-9]+)","rivadavia av","1392"
"LA ISLA FM 89.9","RADIO LOCAL (AM Y FM)","SALGUERO, JERONIMO 2745",NA,NA,"D2","salguero jeronimo 2745","^([a-z ]*)([0-9]+)","salguero jeronimo","2745"
"CENTRO CULTURAL HORUS","CENTRO CULTURAL","CALVO, CARLOS Y TACUARI",NA,NA,"D2","calvo carlos y tacuari","","calvo carlos y tacuari","calvo carlos y tacuari"
"ASOCIACION CULTURAL ARMENIA","CENTRO CULTURAL","ARMENIA 1366",NA,NA,"D2","armenia 1366","^([a-z ]*)([0-9]+)","armenia","1366"
"CENTRO DE DIFUSION DE LA BUENA PRENSA","EDITORIAL","AYACUCHO 230",NA,NA,"D2","ayacucho 230","^([a-z ]*)([0-9]+)","ayacucho","230"
"BONUM","EDITORIAL","CORRIENTES AV. 6687",NA,NA,"D2","corrientes av 6687","^([a-z ]*)([0-9]+)","corrientes av","6687"
"BONSAI EDITORIAL","EDITORIAL","ELCANO AV. 3316",NA,NA,"D2","elcano av 3316","^([a-z ]*)([0-9]+)","elcano av","3316"
"DERECHO COOPERATIVO Y MUTUAL DCYM","EDITORIAL","BOGOTA 103",NA,NA,"D2","bogota 103","^([a-z ]*)([0-9]+)","bogota","103"
"EDICIONES AQUILINA","EDITORIAL","BALBIN, RICARDO, DR. AV. 2419",NA,NA,"D2","balbin ricardo dr av 2419","^([a-z ]*)([0-9]+)","balbin ricardo dr av","2419"
"EDITORIAL CCC EDUCANDO","EDITORIAL","GUIRALDES, INT. 2620",NA,NA,"D2","guiraldes int 2620","^([a-z ]*)([0-9]+)","guiraldes int","2620"
"PICTUS","EDITORIAL","MOZART 2370",NA,NA,"D2","mozart 2370","^([a-z ]*)([0-9]+)","mozart","2370"
"EDICIONES RAP","EDITORIAL","TALCAHUANO 638",NA,NA,"D2","talcahuano 638","^([a-z ]*)([0-9]+)","talcahuano","638"
"ELOISA CARTONERA","EDITORIAL","VALLE, ARISTOBULO DEL 666",NA,NA,"D2","valle aristobulo del 666","^([a-z ]*)([0-9]+)","valle aristobulo del","666"
"CAPITAL INTELECTUAL","EDITORIAL","PARAGUAY 1535",NA,NA,"D2","paraguay 1535","^([a-z ]*)([0-9]+)","paraguay","1535"
"EDITORIAL QUADRATA","EDITORIAL","CORRIENTES AV. 1471",NA,NA,"D2","corrientes av 1471","^([a-z ]*)([0-9]+)","corrientes av","1471"
"BARRY EDITORIAL","EDITORIAL","TALCAHUANO 638",NA,NA,"D2","talcahuano 638","^([a-z ]*)([0-9]+)","talcahuano","638"
"BIOCOLOR SRL","EDITORIAL","MONTAÃ‘ESES 2555",NA,NA,"D2","montaaeses 2555","^([a-z ]*)([0-9]+)","montaaeses","2555"
"BIFRONTE EDITORES","EDITORIAL","ECHEVERRIA 2492",NA,NA,"D2","echeverria 2492","^([a-z ]*)([0-9]+)","echeverria","2492"
"ACERCANDONOS MOVIMIENTO CULTURAL","EDITORIAL","COCHABAMBA 894",NA,NA,"D2","cochabamba 894","^([a-z ]*)([0-9]+)","cochabamba","894"
"EDICIONES CAMPO ESTRELLADO","EDITORIAL","LIBERTAD 567",NA,NA,"D2","libertad 567","^([a-z ]*)([0-9]+)","libertad","567"
"NUEVA VISION EDICIONES","EDITORIAL","TUCUMAN 3748",NA,NA,"D2","tucuman 3748","^([a-z ]*)([0-9]+)","tucuman","3748"
"EDITORIAL PENIEL","EDITORIAL","BOEDO 25",NA,NA,"D2","boedo 25","^([a-z ]*)([0-9]+)","boedo","25"
"EDICIONES SB","EDITORIAL","YAPEYU 283",NA,NA,"D2","yapeyu 283","^([a-z ]*)([0-9]+)","yapeyu","283"
"GRUPO CONVERGENCIA","EDITORIAL","BELGRANO AV. 680",NA,NA,"D2","belgrano av 680","^([a-z ]*)([0-9]+)","belgrano av","680"
"EDITORES DEL PUERTO","EDITORIAL","CORRIENTES AV. 1515",NA,NA,"D2","corrientes av 1515","^([a-z ]*)([0-9]+)","corrientes av","1515"
"DUNKEN EDITORIAL","EDITORIAL","AYACUCHO 355",NA,NA,"D2","ayacucho 355","^([a-z ]*)([0-9]+)","ayacucho","355"
"DEL ECLISE EDICIONES","EDITORIAL","ALVAREZ, JULIAN 841",NA,NA,"D2","alvarez julian 841","^([a-z ]*)([0-9]+)","alvarez julian","841"
"DEL DRAGON EDICIONES","EDITORIAL","MITRE, EMILIO 71",NA,NA,"D2","mitre emilio 71","^([a-z ]*)([0-9]+)","mitre emilio","71"
"DEL CANDIL EDICIONES","EDITORIAL","ESTEVEZ, JOSE, ING. 2184",NA,NA,"D2","estevez jose ing 2184","^([a-z ]*)([0-9]+)","estevez jose ing","2184"
"EDICIONES BIEBEL","EDITORIAL","BIEDMA, JOSE JUAN 1005",NA,NA,"D2","biedma jose juan 1005","^([a-z ]*)([0-9]+)","biedma jose juan","1005"
"EDITORIAL MUCHO GUSTO","EDITORIAL","MOREAU DE JUSTO, ALICIA AV. 2030",NA,NA,"D2","moreau de justo alicia av 2030","^([a-z ]*)([0-9]+)","moreau de justo alicia av","2030"
"URBE MULTIMEDIA","EDITORIAL","LORETO, VIRREY 3225",NA,NA,"D2","loreto virrey 3225","^([a-z ]*)([0-9]+)","loreto virrey","3225"
"EDICIONES CICCUS (CENTRO DE INTEGRACION, COMUNICACION, CULTURA Y SALUD)","EDITORIAL","MEDRANO AV. 288",NA,NA,"D2","medrano av 288","^([a-z ]*)([0-9]+)","medrano av","288"
"GRUPO EDAF EDICIONES ALGABA","EDITORIAL","CHILE 2222",NA,NA,"D2","chile 2222","^([a-z ]*)([0-9]+)","chile","2222"
"INSTITUTO DE PENSAMIENTO SOCIALISTA","EDITORIAL","RIOBAMBA 144",NA,NA,"D2","riobamba 144","^([a-z ]*)([0-9]+)","riobamba","144"
"EDITORIAL DE LA PALABRA DE DIOS","EDITORIAL","24 DE NOVIEMBRE 1212",NA,NA,"D2","24 de noviembre 1212","^([a-z ]*)([0-9]+)","de noviembre 1212","24 de noviembre 1212"
"COLISION LIBROS","EDITORIAL","JUNIN 1616",NA,NA,"D2","junin 1616","^([a-z ]*)([0-9]+)","junin","1616"
"EDIMED SRL","EDITORIAL","PARAGUAY 2019",NA,NA,"D2","paraguay 2019","^([a-z ]*)([0-9]+)","paraguay","2019"
"AGEBE LIBROS","EDITORIAL","BOEDO AV. 1016",NA,NA,"D2","boedo av 1016","^([a-z ]*)([0-9]+)","boedo av","1016"
"DEL AULA TALLER EDICIONES","EDITORIAL","SAN BLAS 5421",NA,NA,"D2","san blas 5421","^([a-z ]*)([0-9]+)","san blas","5421"
"DE MENTE EDICIONES","EDITORIAL","CORRIENTES AV. 1312",NA,NA,"D2","corrientes av 1312","^([a-z ]*)([0-9]+)","corrientes av","1312"
"DE DIOS GUIAS DE VIAJE","EDITORIAL","TACUARI 131",NA,NA,"D2","tacuari 131","^([a-z ]*)([0-9]+)","tacuari","131"
"EDICIONES BIENVENIDAS","EDITORIAL","BELGRANO AV. 367",NA,NA,"D2","belgrano av 367","^([a-z ]*)([0-9]+)","belgrano av","367"
"D&D EDICIONES","EDITORIAL","ALSINA, ADOLFO 1535",NA,NA,"D2","alsina adolfo 1535","^([a-z ]*)([0-9]+)","alsina adolfo","1535"
"DEL NUEVO EXTREMO GRUPO EDITORIAL","EDITORIAL","CARRANZA, ANGEL JUSTINIANO 1852",NA,NA,"D2","carranza angel justiniano 1852","^([a-z ]*)([0-9]+)","carranza angel justiniano","1852"
"DEL SOL EDICIONES","EDITORIAL","CALLAO AV. 737",NA,NA,"D2","callao av 737","^([a-z ]*)([0-9]+)","callao av","737"
"EDICIONES DESDE LA GENTE","EDITORIAL","CORRIENTES AV. 1543",NA,NA,"D2","corrientes av 1543","^([a-z ]*)([0-9]+)","corrientes av","1543"
"DISTRIBUCIONES DEL FUTURO","EDITORIAL","PARACAS 59",NA,NA,"D2","paracas 59","^([a-z ]*)([0-9]+)","paracas","59"
"DOCENCIA SA","EDITORIAL","AGUERO 2260",NA,NA,"D2","aguero 2260","^([a-z ]*)([0-9]+)","aguero","2260"
