"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"CINE EL PLATA","CINE","ALBERDI, JUAN BAUTISTA AV. 5751",NA,NA,"D2","alberdi juan bautista av 5751","^([a-z ]*)([0-9]+)","alberdi juan bautista av","5751"
"POLO CIRCO","CIRCO","COMBATE DE LOS POZOS Y GARAY, JUAN DE AV.",NA,NA,"D2","combate de los pozos y garay juan de av","","combate de los pozos y garay juan de av","combate de los pozos y garay juan de av"
"CONSERVATORIO SUPERIOR DE MUSICA DE LA CIUDAD DE BS. AS. ASTOR PIAZZOLLA","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","SARMIENTO 3401",NA,NA,"D2","sarmiento 3401","^([a-z ]*)([0-9]+)","sarmiento","3401"
"CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 1","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","BARCO CENTENERA DEL 741",NA,NA,"D2","barco centenera del 741","^([a-z ]*)([0-9]+)","barco centenera del","741"
"CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 2","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","SALGUERO, JERONIMO 2445",NA,NA,"D2","salguero jeronimo 2445","^([a-z ]*)([0-9]+)","salguero jeronimo","2445"
"CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 3","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","HUMBERTO 1 3171",NA,NA,"D2","humberto 1 3171","^([a-z ]*)([0-9]+)","humberto  3171","1 3171"
"CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 4","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","CAMARGO 725",NA,NA,"D2","camargo 725","^([a-z ]*)([0-9]+)","camargo","725"
"CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - SEDE CENTRAL","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","GALLO 238",NA,NA,"D2","gallo 238","^([a-z ]*)([0-9]+)","gallo","238"
"ESCUELA METROPOLITANA DE ARTE DRAMATICA - ANEXO 1","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","JUFRE 141",NA,NA,"D2","jufre 141","^([a-z ]*)([0-9]+)","jufre","141"
"ESCUELA METROPOLITANA DE ARTE DRAMATICO","ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)","SARMIENTO 2573",NA,NA,"D2","sarmiento 2573","^([a-z ]*)([0-9]+)","sarmiento","2573"
