NOMBRE	ACTIVIDAD	DIRECCION		
INSTITUTO TECNOLOGICO DE MUSICA CONTEMPORANEA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SAN ISIDRO LABRADOR AV. 4122		
FX PRIMERA ESCUELA ARGENTINA DE EFECTOS ESPECIALES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ESTADO DE ISRAEL AV. 4126		
INSTITUTO DE LA ASOCIACION ARGENTINA DE AGENCIAS DE PUBLICIDAD	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SUIPACHA 1333		
EDITORIAL IMAGINADOR	EDITORIAL	MITRE, BARTOLOME 3749		
EDITORIAL ALFAGUARA	EDITORIAL	ALEM, LEANDRO N. AV. 720		
EDICIONES ABRAN CANCHA	EDITORIAL	GORRITI 3909		
EDICIONES FABRO	EDITORIAL	MONTEVIDEO 641		
EDITORIAL SUDAMERICANA (RANDOM HOUSE MONDADORI)	EDITORIAL	HUMBERTO 1 555		
EDICIONES COLIHUE	EDITORIAL	DIAZ VELEZ AV. 5125		
EDITORIAL TROQUEL	EDITORIAL	OLLEROS AV. 1818		
FONDO DE CULTURA ECONOMICA DE ARGENTINA	EDITORIAL	EL SALVADOR 5665		
EDITORIAL SANTILLANA ARGENTINA	EDITORIAL	ALEM, LEANDRO N. AV. 720		
EDITORIAL ATLANTIDA	EDITORIAL	AZOPARDO 565		
EDITORIAL TINTA FRESCA	EDITORIAL	CORRIENTES AV. 526		
AZ EDITORA	EDITORIAL	MONTENEGRO 1335		
AIQUE GRUPO EDITOR	EDITORIAL	ACUÃ‘A DE FIGUEROA, FRANCISCO 352		
EDICIONES DE LA FLOR	EDITORIAL	GORRITI 3695		
EDITORIAL BIBLOS	EDITORIAL	GIUFFRA, JOSE M.,DR. 324		
LA CRUJIA LIBROS	EDITORIAL	TUCUMAN 1999		
PROMETEO EDITORIAL	EDITORIAL	PRINGLES 519		
EDICIONES CORREGIDOR	EDITORIAL	RODRIGUEZ PE�A 452		
EDICIONES GARNICA	EDITORIAL	LAVALLE 1634		
BENDITAS PRODUCCIONES	SELLO DISCOGRAFICO	BARCO CENTENERA DEL 1203		
BARCA DISCOS - ENTREACTO	SELLO DISCOGRAFICO	MONTE 4929		
ACQUA RECORDS	SELLO DISCOGRAFICO	CORRIENTES AV. 1792		
RGS MUSIC	SELLO DISCOGRAFICO	CORRIENTES AV. 5233		
OPUS 4 PRODUCCIONES	SELLO DISCOGRAFICO	CORDOBA AV. 347		
MUSIPAK	SELLO DISCOGRAFICO	ARENALES 1917		
MDR RECORDS	SELLO DISCOGRAFICO	CALLAO AV. 964		
LEADER MUSIC	SELLO DISCOGRAFICO	SAN JOSE 1277		
EURO RECORDS	SELLO DISCOGRAFICO	LAVALLE 2039		
ETERNAL SUNDAY RECORDS	SELLO DISCOGRAFICO	MIGUELETES 1983		
TROVA INDUSTRIAS MUSICALES	SELLO DISCOGRAFICO	SEGUI, JUAN FRANCISCO 3745		
S-MUSIC	SELLO DISCOGRAFICO	EL SALVADOR 5863		
RP MUSIC (RADOSZYNSKI PRODUCCIONES)	SELLO DISCOGRAFICO	PASTEUR 733		
POLEY RECORDS	SELLO DISCOGRAFICO	OLLEROS 3069		
PLAY PROJECT RECORDS	SELLO DISCOGRAFICO	PERON, JUAN DOMINGO, TTE. GENERAL 2049		
MAGENTA DISCOS	SELLO DISCOGRAFICO	COLOMBRES 107		
POP ART MUSIC	SELLO DISCOGRAFICO	ARENAL, CONCEPCION 2978		
PELO MUSIC	SELLO DISCOGRAFICO	ORTIZ DE OCAMPO AV. 3050		
RANDOM RECORDS	SELLO DISCOGRAFICO	SANTA FE AV. 4870		
PINHEAD RECORDS	SELLO DISCOGRAFICO	CABRERA, JOSE A. 5674		
LIBRERIA YENNY. SUCURSAL ABASTO.	LIBRERIA	CORRIENTES AV. 3247		
PROMETEO LIBROS. SUCURSAL HONDURAS.	LIBRERIA	HONDURAS 4912		
ZIVALS	LIBRERIA	CALLAO AV. 395		
JOYCE, PROUST & CO. LENGUAS Y LITERATURAS EXTRANJERAS	LIBRERIA	TUCUMAN 1545		
LIBRERIA LIBERTADOR	LIBRERIA	CORRIENTES AV. 1318		
RIGOLETTO CURIOSO	LIBRERIA	CORRIENTES AV. 1660		
EL LIBRO DE ARENA. SUCURSAL ARAOZ.	LIBRERIA	ARAOZ 594		
ANTICUARIO LORD BYRON	LIBRERIA	LIBERTAD 948		
MACONDO LIBROS. SUCURSAL SALGUERO.	LIBRERIA	SALGUERO, JERONIMO 1833		
LAS MIL Y UNA HOJAS. SUCURSAL L. M. CAMPOS.	LIBRERIA	CAMPOS, LUIS M. AV. 1384		
LIBRERIA NADIR. SUCURSAL ALBERDI.	LIBRERIA	ALBERDI, JUAN BAUTISTA AV. 5853		
NUEVA LIBRERIA	LIBRERIA	ESTADOS UNIDOS 301		
LA OFERTA. SUCURSAL CORRIENTES.	LIBRERIA	CORRIENTES AV. 1906		
CINCENTRO PRODUCCIONES	PRODUCTORA AUDIOVISUAL	URIBURU JOSE E., PRES. 277		
ANIMA FILMS	PRODUCTORA AUDIOVISUAL	LAVALLEJA 1274		
LIBRERIA OTRO MUNDO	LIBRERIA	ARMENIA 2432		
AJI FILMS	PRODUCTORA AUDIOVISUAL	COMBATIENTES DE MALVINAS AV. 3852		
PROMETEO LIBROS. SUCURSAL CORRIENTES (CASA CENTRAL).	LIBRERIA	CORRIENTES AV. 1916		
SAN BERNARDO PRODUCCIONES	PRODUCTORA AUDIOVISUAL	PERON, JUAN DOMINGO, TTE. GENERAL 1578		
SUBTERRANEA FILMS	PRODUCTORA AUDIOVISUAL	PERU 675		
LIBRERIA SANTA FE. SUCURSAL SANTA FE I.	LIBRERIA	SANTA FE AV. 2376		
16.9 PRODUCCIONES	PRODUCTORA AUDIOVISUAL	INCLAN 2541		
SBS LIBRERIA INTERNACIONAL. SUCURSAL PARQUE CHACABUCO.	LIBRERIA	DIAZ, AVELINO 533		
25P FILMS	PRODUCTORA AUDIOVISUAL	ARENAL, CONCEPCION 3425		
WALRUS BOOKS	LIBRERIA	ESTADOS UNIDOS 617		
AUDIOVISUALES DEL SUR	PRODUCTORA AUDIOVISUAL	AZURDUY JUANA 1553		
GRUPO DE BOEDO FILMS	PRODUCTORA AUDIOVISUAL	QUINQUELA MARTIN, BENITO 1774		
BRANCALEONE PRODUCTORA	PRODUCTORA AUDIOVISUAL	VERA 553		
JUAN JOSE ARA, LIBROS DE MEDICINA	LIBRERIA	BACACAY 2547		
BS. AS. PRODUCCIONES	PRODUCTORA AUDIOVISUAL	CABELLO 3791		
BUFFALO FILMS	PRODUCTORA AUDIOVISUAL	SCALABRINI ORTIZ, RAUL AV. 140		
KEL EDICIONES. SUCURSAL AV. LA PLATA.	LIBRERIA	LA PLATA AV. 63		
CALMA CINE	PRODUCTORA AUDIOVISUAL	NAON, ROMULO 4185		
CM PRODUCCIONES	PRODUCTORA AUDIOVISUAL	TALCAHUANO 374		
AQUA FILMS	PRODUCTORA AUDIOVISUAL	CABELLO 3644		
THOR RECORDS	DISQUERIA	SANTA FE AV. 1670		
DISCOVER	DISQUERIA	FLORIDA 537		
DISCOS OPUS	DISQUERIA	BOLIVIA 47		
AL FIN DEL MUNDO	PRODUCTORA AUDIOVISUAL	GIRIBONE 629		
100 BARES	PRODUCTORA AUDIOVISUAL	LEMOS, JUAN GREGORIO, GRAL. 160		
EL ZOCALO	PRODUCTORA AUDIOVISUAL	CHARLONE 64		
ARTEAR	PRODUCTORA AUDIOVISUAL	LIMA 1261		
CLUB DEL DISCO	DISQUERIA	LAVALLE 3685		
BD CINE	PRODUCTORA AUDIOVISUAL	ALVAREZ THOMAS AV. 198		
CASA PISCITELLI	DISQUERIA	SAN MARTIN 450		
SEGUI VINIENDO DISCOS	DISQUERIA	BALCARCE 260		
LS 86 - TV CANAL 2	TELEVISION LOCAL	FITZ ROY 1650		
TEMPO DISQUERIA	DISQUERIA	BORGES, JORGE LUIS 1666		
LS 82 - TV CANAL 7	TELEVISION LOCAL	FIGUEROA ALCORTA, PRES. AV. 2977		
ICONOS	DISQUERIA	GUALEGUAYCHU 3824		
LS 83 - TV CANAL 9	TELEVISION LOCAL	CONDE 50		
ETILUX SRL	DISQUERIA	LA PAMPA 4411		
LS 84 - TV CANAL 11	TELEVISION LOCAL	PAVON 2444		
DOS MUSIC SHOP	DISQUERIA	RIVADAVIA AV. 2517		
LS 85 - TV CANAL 13	TELEVISION LOCAL	LIMA 1261		
JAZZ DISQUERIA	DISQUERIA	LAVALLE 809		
DISQUERIA KILI	DISQUERIA	BRASIL 1225		
DISQUERIA BRUNELLI	DISQUERIA	DEAN FUNES 2193		
DAVID GIL	DISQUERIA	LOPE DE VEGA AV. 3309		
DANIEL E. CASARIEGO	DISQUERIA	RIVADAVIA AV. 11440		
CASA ROBIMAR	DISQUERIA	SAENZ AV. 1161		
AXEL DISCOS	DISQUERIA	RIVADAVIA AV. 11450		
DISQUERIA PETRACCA	DISQUERIA	ALBERDI, JUAN BAUTISTA AV. 5793		
CASA DE GALICIA (CLUB ESPAÑOL)	MILONGA Y/O TANGUERIA	SAN JOSE 224		
EL COLECCIONISTA, TIENDA DE MUSICA	DISQUERIA	ESMERALDA 562		
LA 100 FM 99.9	RADIO LOCAL (AM Y FM)	MANSILLA, LUCIO NORBERTO, GENERAL 2668		
ESPACIO GIESSO	GALERIA DE ARTE	COCHABAMBA 370		
ROCK AND POP FM 95.9	RADIO LOCAL (AM Y FM)	FREIRE, RAMON, CAP. GRAL. 932		
VYP GALERIAS	GALERIA DE ARTE	ARROYO 959		
METRO FM 95.1	RADIO LOCAL (AM Y FM)	FREIRE, RAMON, CAP. GRAL. 932		
GALERIA DE ARTE SYLVIA VESCO	GALERIA DE ARTE	CHACABUCO 866		
LA 2X4 FM 92.7	RADIO LOCAL (AM Y FM)	SARMIENTO 1551		
GRUPO SUAR S.R.L.	PRODUCTORA AUDIOVISUAL	LAVALLEJA 1021		
BDF BUEN DIA FILMS	PRODUCTORA AUDIOVISUAL	GUEVARA 1282		
RADIO DEL PLATA AM 1030	RADIO LOCAL (AM Y FM)	GORRITI 5963		
LUNATICA FILMS ARGENTINA	PRODUCTORA AUDIOVISUAL	MENDEZ, NICANOR 2540		
14 AL CENTRO	PRODUCTORA AUDIOVISUAL	DEHEZA 2230		
RADIO AMERICA AM 1190	RADIO LOCAL (AM Y FM)	AMENABAR 23		
BIG BUDDHA	PRODUCTORA AUDIOVISUAL	CABRERA, JOSE A. 5671		
RADIO RIVADAVIA AM 630	RADIO LOCAL (AM Y FM)	ARENALES 2467		
RADIO CONTINENTAL AM 590	RADIO LOCAL (AM Y FM)	RIVADAVIA AV. 835		
RADIO 10 AM 710	RADIO LOCAL (AM Y FM)	URIARTE 1899		
RADIO MITRE AM 790	RADIO LOCAL (AM Y FM)	MANSILLA, LUCIO NORBERTO, GENERAL 2668		
RADIO NACIONAL AM 870	RADIO LOCAL (AM Y FM)	MAIPU 555		
LA RED AM 910	RADIO LOCAL (AM Y FM)	PASEO COLON AV. 505		
RADIO DE LA CIUDAD AM 1110	RADIO LOCAL (AM Y FM)	SARMIENTO 1551		
BLUE FM 100.7	RADIO LOCAL (AM Y FM)	HONDURAS 5691		
X4 FM 104.3	RADIO LOCAL (AM Y FM)	VEGA, NICETO, CNEL. AV. 5635		
FM PATRICIOS FM 95.5	RADIO LOCAL (AM Y FM)	24 DE NOVIEMBRE 2273		
RADIO PALERMO FM 94.7	RADIO LOCAL (AM Y FM)	RAVIGNANI, EMILIO, DR. 1732		
FM LA TRIBU FM 88.7	RADIO LOCAL (AM Y FM)	LAMBARE 873		
RADIO UBA FM 87.9	RADIO LOCAL (AM Y FM)	ARENALES 1371		
LA RADIO DE LAS MADRES AM 530	RADIO LOCAL (AM Y FM)	SAENZ PE�A, LUIS, PRES. 210		
ASPEN CLASSIC FM 102.3	RADIO LOCAL (AM Y FM)	HONDURAS 5663		
RADIO GENERAL BELGRANO AM 840	RADIO LOCAL (AM Y FM)	TRAFUL 3834		
BAZAR TV NEWS	PRODUCTORA AUDIOVISUAL	MONTEVIDEO 1780		
RADIO EL MUNDO AM 1070	RADIO LOCAL (AM Y FM)	RIVADAVIA AV. 825		
FM IDENTIDAD FM 92.1	RADIO LOCAL (AM Y FM)	FLORIDA 935		
BASTIANA FILMS	PRODUCTORA AUDIOVISUAL	DIAZ, CNEL. AV. 2277		
RADIO JAI FM 96.3	RADIO LOCAL (AM Y FM)	GOMEZ, VALENTIN 2950		
BANDA APARTE	PRODUCTORA AUDIOVISUAL	THAMES 2005		
AZTECA FILMS	PRODUCTORA AUDIOVISUAL	LACROZE, FEDERICO AV. 2886		
CLASICA NACIONAL FM 96.7	RADIO LOCAL (AM Y FM)	MAIPU 555		
AZPEITIA CINE	PRODUCTORA AUDIOVISUAL	BILLINGHURST 1087		
NACIONAL FOLKLORICA FM 98.7	RADIO LOCAL (AM Y FM)	MAIPU 555		
LETRA IMPRESA GRUPO EDITOR	EDITORIAL	PALPA 3672		
ASST	PRODUCTORA AUDIOVISUAL	CASTEX 3217		
ONDA LATINA AM 1010	RADIO LOCAL (AM Y FM)	SARMIENTO 1586		
ARMADO FILMS	PRODUCTORA AUDIOVISUAL	BULNES 1047		
EDITORIAL DISTAL	EDITORIAL	PASEO COLON AV. 1350		
EDITORIAL ALBATROS	EDITORIAL	SALGUERO, JERONIMO 2745		
ARGENTINA CINE	PRODUCTORA AUDIOVISUAL	DARWIN 1154		
EDICIONES DEL ARROYO	EDITORIAL	TUCUMAN 1427		
ENCUADRE S.A.	PRODUCTORA AUDIOVISUAL	3 DE FEBRERO 2841		
VORTERIX FM 103.1	RADIO LOCAL (AM Y FM)	LACROZE, FEDERICO AV. 3455		
EDITORIAL LEVIATAN	EDITORIAL	ALSINA, ADOLFO 1170		
AIKE SUR	PRODUCTORA AUDIOVISUAL	CARRANZA, ANGEL JUSTINIANO 2038		
RADIO SPLENDID AM 990	RADIO LOCAL (AM Y FM)	SAN MARTIN 569		
AD-ONE	PRODUCTORA AUDIOVISUAL	UGARTE, MANUEL 2783		
PARADISO EDICIONES	EDITORIAL	ACUÃ‘A DE FIGUEROA, FRANCISCO 786		
RADIO 9 LA DEPORTIVA AM 950	RADIO LOCAL (AM Y FM)	CONDE 935		
ARMONIZATE MEDIA	PRODUCTORA AUDIOVISUAL	AGUILAR 2612		
EDITORIAL MODALITE	EDITORIAL	PRINGLES 1321		
DONN S.A.	EDITORIAL	CORTEJARENA, JOSE A. 1862		
NUTS STUDIO S.A.	PRODUCTORA AUDIOVISUAL	SCALABRINI ORTIZ, RAUL AV. 764		
EDITORIAL ESTELLA - EDUCAR PARA LA LIBERTAD	EDITORIAL	VIAMONTE 1984		
HYPNOSIS FILMS	PRODUCTORA AUDIOVISUAL	CONESA 3053		
RADIO DEL PUEBLO AM 830	RADIO LOCAL (AM Y FM)	MONTEVIDEO 497		
DOS EDITORES/DOS TINTAS S.A.	EDITORIAL	BALCARCE 711		
EDITORIAL ERA NACIENTE	EDITORIAL	SAN JUAN AV. 777		
ESPACIO EDITORIAL	EDITORIAL	BOLIVAR 547		
CONSEJO PROFESIONAL DE CIENCIAS ECONOMICAS DE LA CAPITAL FEDERAL	EDITORIAL	VIAMONTE 1549		
EDICIONES MANANTIAL	EDITORIAL	DE MAYO AV. 1365		
RADIO COOPERATIVA AM 770	RADIO LOCAL (AM Y FM)	CERRITO 242		
FERNANDO MARIN PRODUCCIONES	PRODUCTORA AUDIOVISUAL	MADERO, EDUARDO AV. 942		
ALFAGRAMA EDICIONES	EDITORIAL	ZAPATA 160		
ALPHA CHANNEL	PRODUCTORA AUDIOVISUAL	FRIAS, EUSTAQUIO, TTE. GENERAL 263		
AMADEO DIGITAL	PRODUCTORA AUDIOVISUAL	3 DE FEBRERO 4856		
AMORRORTU EDITORES	EDITORIAL	PARAGUAY 1225		
ARCA DIFUSION	PRODUCTORA AUDIOVISUAL	MAIPU 916		
COSMOPOLITA	EDITORIAL	PIEDRAS 744		
AREA 54 FILMS	PRODUCTORA AUDIOVISUAL	VEGA, NICETO, CNEL. 4932		
AREA DIGITAL	PRODUCTORA AUDIOVISUAL	AREVALO 1977		
EDITORIAL ISRAELITA BNEI SHOLEM	EDITORIAL	ANCHORENA, TOMAS MANUEL DE, DR. 762		
AM 750	RADIO LOCAL (AM Y FM)	VENEZUELA 370		
CRECER CREANDO	EDITORIAL	VIAMONTE 2052		
CLACK STUDIO	PRODUCTORA AUDIOVISUAL	LACROZE, FEDERICO AV. 3106		
RADIO ARGENTINA AM 570	RADIO LOCAL (AM Y FM)	SAN MARTIN 569		
CLYNA S.A.	EDITORIAL	CERRITO 1136		
EDITORIAL PERSPECTIVAS BET MIDRASH	EDITORIAL	TUCUMAN 2757		
RADIO BUENOS AIRES AM 1350	RADIO LOCAL (AM Y FM)	ENTRE RIOS AV. 1931		
SOCIEDAD BIBLICA ARGENTINA	EDITORIAL	TUCUMAN 352		
RADIO CONCEPTO AM 730	RADIO LOCAL (AM Y FM)	MAIPU 267		
CLACSO - AREA DE PRODUCCION EDITORIAL	EDITORIAL	CALLAO AV. 875		
ASTREA EDITORIAL	EDITORIAL	LAVALLE 1208		
CONTINENTE EDICIONES	EDITORIAL	PAVON 2229		
CINE TAURO	PRODUCTORA AUDIOVISUAL	TRONADOR 671		
CIRCULO LATINO AUSTRAL	EDITORIAL	CASEROS AV. 1573		
CINE OJO	PRODUCTORA AUDIOVISUAL	LAVALLE 3		
BALLETIN DANCE	EDITORIAL	ALSINA, ADOLFO 943		
GRUPO EDITORIAL CIUDAD NUEVA	EDITORIAL	LEZICA 4358		
CINEMA GROUP S.R.L.	PRODUCTORA AUDIOVISUAL	SCALABRINI ORTIZ, RAUL AV. 140		
CLARETIANA EDITORIAL. SUCURSAL LIMA.	EDITORIAL	LIMA 1360		
CICLO UNO PRODUCTORA	PRODUCTORA AUDIOVISUAL	CASTILLO 1366		
CLEO ART CLUB	EDITORIAL	ARENALES 2532		
EDITORIAL ABELEDO PERROT	EDITORIAL	LAVALLE 1280		
EDITORIAL BAHA'' INDOLATINOAMERICANA	EDITORIAL	OTAMENDI 217		
COMPANIA CINEMATOGRAFICA	PRODUCTORA AUDIOVISUAL	GUATEMALA 5188		
EDICIONES ANDROMEDA	EDITORIAL	LA PLATA AV. 1268		
SALADO MEDIA	PRODUCTORA AUDIOVISUAL	CARRANZA, ANGEL JUSTINIANO 1970		
PROYECTO BASE	EDITORIAL	SANTA FE AV. 1460		
16M EL ANGEL FILMS	PRODUCTORA AUDIOVISUAL	SERRANO 820		
CATAPULTA EDITORES/CATAPULTA JUNIOR	EDITORIAL	DONADO 4694		
ATVEL EDITORIAL	EDITORIAL	PICHINCHA 1091		
ARTNOVELA EDICIONES	EDITORIAL	MOREAU DE JUSTO, ALICIA AV. 1120		
GRUPO EDIBA	EDITORIAL	FOREST AV. 579		
PEARSON EDUCACION	EDITORIAL	BELGRANO AV. 615		
TUSQUETS EDITORES S.A.	EDITORIAL	VENEZUELA 1664		
PICHUCO RECORDS	SELLO DISCOGRAFICO	PARANA 641		
V & R EDITORAS S.A.	EDITORIAL	DEMARIA 4412		
ATLANTE ARGENTINA EDITORIAL	EDITORIAL	JUNIN 827		
EDITORIAL SIGMAR	EDITORIAL	BELGRANO AV. 1580		
EDIAR	EDITORIAL	TUCUMAN 927		
KAPELUSZ EDICIONES	EDITORIAL	SAN JOSE 831		
PROCOM DISCOS	SELLO DISCOGRAFICO	RIVERA, PEDRO I., DR. 5738		
KATZ EDITORES	EDITORIAL	MATIENZO, BENJAMIN, TENIENTE 1831		
RIGOR RECORDS	SELLO DISCOGRAFICO	MENDEZ DE ANDES 2355		
GRUPO VISOR	EDITORIAL	ARBELETCHE, ANIBAL P. 1580		
YORK AGENCY	EDITORIAL	ALSINA, ADOLFO 739		
ALFAOMEGA GRUPO EDITOR	EDITORIAL	PARAGUAY 1307		
SURAMUSIC	SELLO DISCOGRAFICO	ALVAREZ THOMAS AV. 637		
EDICIONES B / GRUPO Z	EDITORIAL	PASEO COLON AV. 221		
VACA RECORDS	SELLO DISCOGRAFICO	BESARES 1931		
EDICIONES LEA	EDITORIAL	DORREGO AV. 330		
EDICIONES SM	EDITORIAL	BELGRANO AV. 552		
ESTAMOS FELICES	SELLO DISCOGRAFICO	LOPEZ, VICENTE 2305		
EDICIONES MADRES DE PLAZA DE MAYO	EDITORIAL	YRIGOYEN, HIPOLITO 1432		
EDITORIAL ANDRES BELLO ARGENTINA	EDITORIAL	RIO CUARTO 2765		
EDITORIAL ABACO	EDITORIAL	VIAMONTE 1336		
GLD (GRUPO LASER DISC)	SELLO DISCOGRAFICO	11 DE SEPTIEMBRE DE 1888 3585		
EDITORIAL HEMISFERIO SUR	EDITORIAL	PASTEUR 743		
EDITORIAL CROQUIS	EDITORIAL	VIAMONTE 947		
MARKA	SELLO DISCOGRAFICO	PERON, JUAN DOMINGO, TTE. GENERAL 1593		
EDITORIAL LOS ANDES	EDITORIAL	GALICIA 414		
EDITORIAL MEDICA PANAMERICANA	EDITORIAL	ALVEAR, MARCELO T. DE 2145		
MELOPEA DISCOS	SELLO DISCOGRAFICO	ACHA, MARIANO, GRAL. 3037		
MUSIC BROKERS ARGENTINA	SELLO DISCOGRAFICO	VUELTA DE OBLIGADO 1947		
NEMS ENTERPRISES	SELLO DISCOGRAFICO	RIO DE JANEIRO 9		
PAI PRODUCCIONES ARGENTINAS E INTERNACIONALES	SELLO DISCOGRAFICO	GALICIA 1290		
ASTERISCO	SELLO DISCOGRAFICO	TUCUMAN 731		
AVA RECORDS	SELLO DISCOGRAFICO	PELLEGRINI, CARLOS 155		
AZIONE ARTIGINIALE	SELLO DISCOGRAFICO	VARELA 236		
BESOTICO RECORDS	SELLO DISCOGRAFICO	MORENO 1876		
BLACKSIDE INC.	SELLO DISCOGRAFICO	LOZANO, PEDRO 3792		
CICLO 3	SELLO DISCOGRAFICO	ESTADOS UNIDOS 629		
DISCOS REDONDEL	SELLO DISCOGRAFICO	BUCARELLI 2626		
MUSEO NOTARIAL ARGENTINO	MUSEO	CALLAO AV. 1542		
MUSEO DE LA EMIGRACION GALLEGA EN LA ARGENTINA M.E.G.A.	MUSEO	CHACABUCO 955		
PAIDOS GRUPO PLANETA	EDITORIAL	INDEPENDENCIA AV. 1682		
EDICIONES EL ANDARIEGO	EDITORIAL	ARAOZ 577		
VAZQUEZ MAZZINI EDITORES	EDITORIAL	TINOGASTA 3171		
EDEBE	EDITORIAL	DON BOSCO 4069		
ESTACION MANDIOCA DE EDICIONES	EDITORIAL	BONIFACIO, JOSE 2524		
EDELVIVES ARGENTINA	EDITORIAL	CALLAO AV. 224		
UGERMAN EDITOR	EDITORIAL	ITUZAINGO 1151		
EDITORIAL UNIVERSIDAD	EDITORIAL	RIVADAVIA AV. 1225		
XYZ EDITORA S.A.	EDITORIAL	HUERGO, ING. AV. 1181		
ANTIDOTO EDITORIAL	EDITORIAL	CHILE 1302		
PEQUEÑO EDITOR	EDITORIAL	CHARLONE 978		
PLAQUETODO	EDITORIAL	INCLAN 3955		
EDITORIAL POLEMOS	EDITORIAL	MORENO 1785		
PRODUCCIONES MAWIS	EDITORIAL	LAMARCA, EMILIO 1917		
EDITORIAL REMOLINO	EDITORIAL	AZCUENAGA 24		
EDITORIAL RUY DIAZ	EDITORIAL	GONZALEZ, ELPIDIO 5562		
EDITORIAL SAN PABLO	EDITORIAL	RIOBAMBA 230		
EDITORIAL SERENDIPIDAD	EDITORIAL	HUERGO, ING. AV. 1485		
SESSA EDITORES	EDITORIAL	BOLLINI 2234		
SIGLO VEINTIUNO EDITORES	EDITORIAL	GUATEMALA 4824		
SOUTH END PUBLISHING	EDITORIAL	ARAOZ 558		
LUGAR EDITORIAL S.A.	EDITORIAL	CASTRO BARROS 1754		
CINES PLAZA LINIERS SHOPPING CENTER	CINE	FALCON, RAMON L.,CNEL. 7145		
CINEMARK CABALLITO	CINE	LA PLATA AV. 96		
CINEMARK PALERMO	CINE	BERUTI 3399		
CINEMARK PUERTO MADERO	CINE	MOREAU DE JUSTO, ALICIA AV. 1960		
PIAZZOLLA TANGO	MILONGA Y/O TANGUERIA	FLORIDA 165		
TEATRO LA GALERA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HUMBOLDT 1591		
STADIUM EDITORIAL	EDITORIAL	INDEPENDENCIA AV. 3124		
EDICIONES LUMIERE	EDITORIAL	AZARA 65		
MAGISTERIO DEL RIO DE LA PLATA	EDITORIAL	VIAMONTE 1674		
MALAS PALABRAS BUKS	EDITORIAL	PARAGUAY 749		
MASCARDI & NASH	EDITORIAL	PARANA 1097		
MC GRAW-HILL INTERAMERICANA EDITORES	EDITORIAL	ARENAL, CONCEPCION 3425		
MIÑO Y DAVILA EDITORES	EDITORIAL	RIVADAVIA AV. 1977		
NISEOS EDITORIAL DE HISTORIA MILITAR	EDITORIAL	DE MAYO AV. 1370		
EDICIONES NISNO	EDITORIAL	ROSETI 181		
NOBUKO	EDITORIAL	FLORIDA 683		
OLMO EDICIONES	EDITORIAL	ALVEAR, MARCELO T. DE 2261		
EDITORIAL OMEBA	EDITORIAL	MORENO 2554		
OSMAR BUYATTI LIBRERIA EDITORIAL	EDITORIAL	VIAMONTE 1509		
PATRIA GRANDE EDITORA	EDITORIAL	RIVADAVIA AV. 6369		
LA AZOTEA EDITORIAL FOTOGRAFICA DE AMERICA LATINA	EDITORIAL	PARAGUAY 1480		
EDITORIAL LA BOHEMIA	EDITORIAL	PATRICIAS ARGENTINAS AV. 111		
EDICIONES LA ROCCA	EDITORIAL	TALCAHUANO 458		
LAFFONT	EDITORIAL	REGIMIENTO DE PATRICIOS AV. 929		
ED LAZARA GUIA DEL ESTUDIANTE	EDITORIAL	PRINGLES 160		
LETEMENDIA CASA EDITORA	EDITORIAL	FLORIDA 336		
EDICIONES QUIPU	EDITORIAL	BONIFACIO, JOSE 2434		
LIBROS DEL ZORZAL	EDITORIAL	TUCUMAN 3350		
EDITORIAL LOSADA	EDITORIAL	MORENO 3362		
EDITORIAL GALERNA	EDITORIAL	LAMBARE 893		
HAMMURABI EDITORIAL S.R.L.	EDITORIAL	TALCAHUANO 481		
HELIASTA EDITORIAL	EDITORIAL	JUNCAL 3451		
EDITORIAL HOLA CHICOS	EDITORIAL	CALLAO AV. 1121		
GRUPO EDITOR VESTALES	EDITORIAL	CANTILO, JOSE LUIS 4200		
NEW GATE TRAVEL MEDIA	EDITORIAL	VIAMONTE 723		
JORGE BAUDINO EDICIONES	EDITORIAL	FRAY CAYETANO RODRIGUEZ 885		
EDICIONES EN DANZA	EDITORIAL	JOVELLANOS, GASPAR M. DE 1068		
KIER	EDITORIAL	SANTA FE AV. 1260		
LIBRERIA ETERNA CADENCIA	LIBRERIA	HONDURAS 5574		
GRUPO EDITORIAL TEMAS	EDITORIAL	CERRITO 136		
EUDEBA	EDITORIAL	RIVADAVIA AV. 1571		
EUROS EDITORES	EDITORIAL	CONGRESO AV. 4744		
INSTITUTO DE PUBLICACIONES NAVALES	EDITORIAL	FLORIDA 971		
LIBRERIA-EDITORIAL CRISTIANA. FUNDACION CRISTIANA DE EVANGELIZACION.	EDITORIAL	MAIPU 466		
NUEVA SOCIEDAD - DEMOCRACIA Y POLITICA EN AMERICA LATINA	EDITORIAL	DEFENSA 1111		
EDITORIAL ERREPAR	EDITORIAL	PARANA 725		
FUNDACION MUNDO NUEVO	EDITORIAL	CALLAO AV. 1870		
EDITORIAL OCEANO ARGENTINA	EDITORIAL	PELLEGRINI, CARLOS 855		
GRAFICA SUR EDITORA SRL	EDITORIAL	MEXICO 1448		
