NOMBRE	ACTIVIDAD	DIRECCION		
LA OTRA ORILLA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	URQUIZA, GRAL. 124		
AUDITORIO BEN AMI	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JAURES, JEAN 746		
PAN Y ARTE / BOEDO VIDA Y ARTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOEDO AV. 876		
TEMPLUM	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	AYACUCHO 318		
TEATRO LA CASONA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1975		
CENTRO ARGENTINO DE TEATRO CIEGO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ZELAYA 3006		
THE CAVERN CLUB	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1660		
GRUPO DE TEATRO COMUNITARIO RES O NO RES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DIRECTORIO AV. Y DE LA TORRE, LISANDRO AV.		
EL PISO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HIDALGO 878		
EL EPICO DE FLORESTA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GAONA AV. 4660		
DANDELION	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORDOBA AV. 2429		
IFT	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOULOGNE SUR MER 549		
TEATRO DEL ANGEL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BRAVO, MARIO 1239		
